# r Xi(r) Xi(r)-ShotNoise
# z = 1
0.000000000000000000e+00 6.960109252929687500e+02 -3.315161065116905374e+05
nan nan nan
nan nan nan
nan nan nan
nan nan nan
nan nan nan
nan nan nan
7.812500000000000000e+00 -1.099578539530436272e+00 -3.322132170155230560e+05
nan nan nan
nan nan nan
nan nan nan
1.574456113927504646e+02 3.478963877640518700e-03 -3.322121139580196468e+05
1.586214132869944820e+02 3.684022555164262556e-03 -3.322121137529609259e+05
1.597007494839754997e+02 1.296048814600164224e-02 -3.322121044764953549e+05
1.604108491785385979e+02 2.756924824971778614e-04 -3.322121171612910111e+05
1.613352457682291572e+02 -5.369490028446556075e-03 -3.322121228064735187e+05
1.625715512362393440e+02 -8.485990491780366976e-03 -3.322121259229740244e+05
1.634708397906759387e+02 4.315737796866375882e-03 -3.322121131212456967e+05
1.645695865228309458e+02 5.622375085487128429e-03 -3.322121118146084482e+05
1.657002897442511653e+02 -3.716086816487822186e-03 -3.322121211530703004e+05
1.664105275472005303e+02 -3.619228563611469503e-03 -3.322121210562120541e+05
1.674681164285410944e+02 1.727824085864467863e-03 -3.322121157091594068e+05
1.685910061922940315e+02 -1.983430123690402974e-03 -3.322121194204136264e+05
1.694044651985168457e+02 -4.131074373920758276e-03 -3.322121215680578607e+05
1.703972364153180763e+02 3.529177180358341638e-03 -3.322121139078063425e+05
1.715096144369982767e+02 8.409764059457574409e-03 -3.322121090272194706e+05
1.724576578776041629e+02 4.969655915542885551e-04 -3.322121169400179060e+05
1.734314516129032313e+02 1.200617897895074615e-02 -3.322121054308045423e+05
1.744859961307410003e+02 6.624787594332839273e-04 -3.322121167745047715e+05
1.755425376172335632e+02 4.380405511496201706e-03 -3.322121130565779749e+05
1.764857681516617163e+02 9.001289725934386379e-03 -3.322121084356937790e+05
1.774657000373391611e+02 -1.202984534057916464e-02 -3.322121294668288319e+05
1.784686528986150620e+02 -1.100577730121034617e-02 -3.322121284427607898e+05
1.794827665441176521e+02 -4.503849544816027235e-03 -3.322121219408330508e+05
1.804200497795553702e+02 1.126178806903315593e-02 -3.322121061751954257e+05
1.815094571500211202e+02 -8.474452001554472202e-03 -3.322121259114355198e+05
1.825111422152132548e+02 1.327517762914434164e-02 -3.322121041618058807e+05
1.834179832644578880e+02 1.564014345649781396e-02 -3.322121017968400265e+05
1.844201182047526117e+02 -9.990803400675455845e-03 -3.322121274277868797e+05
1.855184571639351248e+02 -5.469449188398278240e-03 -3.322121229064327199e+05
1.864416415306829720e+02 -1.412177085876464844e-02 -3.322121315587543650e+05
1.875211551489419435e+02 3.612571731045283088e-03 -3.322121138244117610e+05
1.885793748938519059e+02 6.171307809974836125e-04 -3.322121168198527303e+05
1.894561873969681756e+02 -9.188887176163699697e-03 -3.322121266258707037e+05
1.904836555149244361e+02 5.198605250621187238e-03 -3.322121122383782640e+05
1.915477841695149834e+02 -7.268982904928701638e-03 -3.322121247059663874e+05
1.925012075636121835e+02 -3.213862302126707822e-03 -3.322121206508458126e+05
1.934395286923362960e+02 -7.575940991204882687e-03 -3.322121250129244872e+05
1.945039594783339396e+02 -2.101435772208280414e-02 -3.322121384513412486e+05
1.956515279857035239e+02 -9.780953176533914439e-03 -3.322121272179366788e+05
1.965318101092082657e+02 4.013528184192936658e-03 -3.322121134234553319e+05
1.975996692657470817e+02 7.004302740097045725e-03 -3.322121104326807545e+05
1.984493795727926511e+02 2.940782163508985289e-03 -3.322121144962013350e+05
1.993946222478693073e+02 -4.313854737715287942e-03 -3.322121217508382397e+05
2.005037641979399154e+02 -1.061099010800558434e-02 -3.322121280479736160e+05
